1.549802*eV   54894.417062*m
1.551742*eV   54620.423047*m
1.553687*eV   54347.456048*m
1.555636*eV   54075.513493*m
1.557590*eV   53804.592817*m
1.559550*eV   53534.691457*m
1.561514*eV   53265.806852*m
1.563483*eV   52997.936445*m
1.565457*eV   52731.077682*m
1.567436*eV   52465.228014*m
1.569420*eV   52200.384892*m
1.571409*eV   51936.545773*m
1.573404*eV   51673.708116*m
1.575403*eV   51411.869383*m
1.577407*eV   51151.027040*m
1.579417*eV   50892.045000*m
1.581431*eV   50637.135000*m
1.583451*eV   50382.225000*m
1.585476*eV   50127.315000*m
1.587506*eV   49872.405000*m
1.589541*eV   49617.495000*m
1.591581*eV   49362.585000*m
1.593627*eV   49107.675000*m
1.595678*eV   48852.765000*m
1.597735*eV   48597.855000*m
1.599796*eV   48347.785000*m
1.601863*eV   48102.555000*m
1.603935*eV   47857.325000*m
1.606013*eV   47612.095000*m
1.608096*eV   47366.865000*m
1.610184*eV   47121.635000*m
1.612278*eV   46876.405000*m
1.614378*eV   46631.175000*m
1.616482*eV   46385.945000*m
1.618593*eV   46140.715000*m
1.620708*eV   45900.200000*m
1.622830*eV   45664.400000*m
1.624957*eV   45428.600000*m
1.627089*eV   45192.800000*m
1.629227*eV   44957.000000*m
1.631371*eV   44721.200000*m
1.633520*eV   44485.400000*m
1.635675*eV   44249.600000*m
1.637836*eV   44013.800000*m
1.640003*eV   43778.000000*m
1.642175*eV   43546.785000*m
1.644353*eV   43320.155000*m
1.646536*eV   43093.525000*m
1.648726*eV   42866.895000*m
1.650921*eV   42640.265000*m
1.653123*eV   42413.635000*m
1.655330*eV   42187.005000*m
1.657543*eV   41960.375000*m
1.659762*eV   41733.745000*m
1.661987*eV   41507.115000*m
1.664217*eV   41284.955000*m
1.666454*eV   41067.265000*m
1.668697*eV   40849.575000*m
1.670946*eV   40631.885000*m
1.673201*eV   40414.195000*m
1.675462*eV   40196.505000*m
1.677729*eV   39978.815000*m
1.680003*eV   39761.125000*m
1.682282*eV   39543.435000*m
1.684568*eV   39325.745000*m
1.686860*eV   39112.410000*m
1.689158*eV   38903.430000*m
1.691462*eV   38694.450000*m
1.693773*eV   38485.470000*m
1.696090*eV   38276.490000*m
1.698414*eV   38067.510000*m
1.700743*eV   37858.530000*m
1.703080*eV   37649.550000*m
1.705422*eV   37440.570000*m
1.707771*eV   37231.590000*m
1.710127*eV   37026.840000*m
1.712489*eV   36826.320000*m
1.714858*eV   36625.800000*m
1.717233*eV   36425.280000*m
1.719614*eV   36224.760000*m
1.722003*eV   36024.240000*m
1.724398*eV   35823.720000*m
1.726799*eV   35623.200000*m
1.729208*eV   35422.680000*m
1.731623*eV   35222.160000*m
1.734045*eV   35025.755000*m
1.736473*eV   34833.465000*m
1.738909*eV   34641.175000*m
1.741351*eV   34448.885000*m
1.743800*eV   34256.595000*m
1.746256*eV   34064.305000*m
1.748719*eV   33872.015000*m
1.751189*eV   33679.725000*m
1.753666*eV   33487.435000*m
1.756150*eV   33295.145000*m
1.758641*eV   33106.860000*m
1.761139*eV   32922.580000*m
1.763644*eV   32738.300000*m
1.766157*eV   32554.020000*m
1.768676*eV   32369.740000*m
1.771203*eV   32185.460000*m
1.773737*eV   32001.180000*m
1.776278*eV   31816.900000*m
1.778826*eV   31632.620000*m
1.781382*eV   31448.340000*m
1.783945*eV   31267.950000*m
1.786516*eV   31091.450000*m
1.789094*eV   30914.950000*m
1.791679*eV   30738.450000*m
1.794272*eV   30561.950000*m
1.796872*eV   30385.450000*m
1.799480*eV   30208.950000*m
1.802096*eV   30032.450000*m
1.804719*eV   29855.950000*m
1.807350*eV   29679.450000*m
1.809988*eV   29506.730000*m
1.812634*eV   29337.790000*m
1.815288*eV   29168.850000*m
1.817950*eV   28999.910000*m
1.820620*eV   28830.970000*m
1.823297*eV   28662.030000*m
1.825982*eV   28493.090000*m
1.828675*eV   28324.150000*m
1.831377*eV   28155.210000*m
1.834086*eV   27986.270000*m
1.836803*eV   27821.000000*m
1.839528*eV   27659.400000*m
1.842261*eV   27497.800000*m
1.845003*eV   27336.200000*m
1.847753*eV   27174.600000*m
1.850510*eV   27013.000000*m
1.853277*eV   26851.400000*m
1.856051*eV   26689.800000*m
1.858834*eV   26528.200000*m
1.861625*eV   26366.600000*m
1.864424*eV   26208.560000*m
1.867232*eV   26054.080000*m
1.870048*eV   25899.600000*m
1.872873*eV   25745.120000*m
1.875706*eV   25590.640000*m
1.878548*eV   25436.160000*m
1.881399*eV   25281.680000*m
1.884258*eV   25127.200000*m
1.887126*eV   24972.720000*m
1.890003*eV   24818.240000*m
1.892889*eV   24667.215000*m
1.895783*eV   24519.645000*m
1.898686*eV   24372.075000*m
1.901598*eV   24224.505000*m
1.904519*eV   24076.935000*m
1.907449*eV   23929.365000*m
1.910388*eV   23781.795000*m
1.913336*eV   23634.225000*m
1.916294*eV   23486.655000*m
1.919260*eV   23339.085000*m
1.922236*eV   23194.865000*m
1.925220*eV   23053.995000*m
1.928215*eV   22913.125000*m
1.931218*eV   22772.255000*m
1.934231*eV   22631.385000*m
1.937253*eV   22490.515000*m
1.940285*eV   22349.645000*m
1.943326*eV   22208.775000*m
1.946377*eV   22067.905000*m
1.949437*eV   21927.035000*m
1.952507*eV   21789.415000*m
1.955587*eV   21655.045000*m
1.958676*eV   21520.675000*m
1.961775*eV   21386.305000*m
1.964884*eV   21251.935000*m
1.968003*eV   21117.565000*m
1.971132*eV   20983.195000*m
1.974271*eV   20848.825000*m
1.977419*eV   20714.455000*m
1.980578*eV   20580.085000*m
1.983747*eV   20448.860000*m
1.986926*eV   20320.780000*m
1.990116*eV   20192.700000*m
1.993315*eV   20064.620000*m
1.996525*eV   19936.540000*m
1.999745*eV   19808.460000*m
2.002976*eV   19680.380000*m
2.006217*eV   19552.300000*m
2.009468*eV   19424.220000*m
2.012730*eV   19296.140000*m
